"date","open","high","low","close","volume"
"2019-04-19T18:35:00Z","5268.85093244","5270.56328683","5268.85093244","5270.56328683","552.51720638"
"2019-04-19T18:40:00Z","5268.03011026","5277.2151644","5268.03011026","5276.31485716","2358.48058912"
"2019-04-19T18:45:00Z","5271.5","5271.76090593","5267.37639893","5267.37639893","3291.50608676"
"2019-04-19T18:50:00Z","5264.5379709","5270.78870938","5264.5379709","5270.78870938","2861.11809939"
"2019-04-19T18:55:00Z","5265.26538692","5265.26538692","5265.26538692","5265.26538692","663.81606959"
"2019-04-19T19:00:00Z","5268.73990475","5268.73990475","5268.73990475","5268.73990475","407.83434662"
"2019-04-19T19:05:00Z","5265.26538693","5265.26538693","5260","5260","8559.99653568"
"2019-04-19T19:10:00Z","5260.93682612","5261.46791675","5260","5260","572.01592882"
"2019-04-19T19:15:00Z","5260","5260","5249.71296107","5255.47601308","2651.3449043"
"2019-04-19T19:20:00Z","5253.34618595","5253.34618595","5253.34618595","5253.34618595","42.02676948"
"2019-04-19T19:25:00Z","5258.55557768","5258.55557768","5258.55557768","5258.55557768","99.99995316"
"2019-04-19T19:30:00Z","5259.99442407","5259.99442407","5258.53010706","5258.53010706","184.39665392"
"2019-04-19T19:35:00Z","5259.99442407","5259.99442407","5259.99442407","5259.99442407","1366.47848704"
"2019-04-19T19:40:00Z","5263.2750243","5265.69795698","5263.2750243","5265.69795698","3153.43913074"
"2019-04-19T19:45:00Z","5265.73","5265.73","5265.69795698","5265.69795698","3361.25096976"
"2019-04-19T19:50:00Z","5265.69795698","5265.69795698","5265.69795698","5265.69795698","214.83057713"
"2019-04-19T19:55:00Z","5269.76450181","5274.88049051","5269.76450181","5274.88049051","173.61196833"
"2019-04-19T20:00:00Z","5274.88049051","5277.13118541","5272.38265786","5273.46505871","618.44805265"
"2019-04-19T20:05:00Z","5273.21399703","5277.19568262","5272.33680391","5276.71607401","718.22403777"
"2019-04-19T20:10:00Z","5276.518447","5276.70500083","5276.518447","5276.518447","2550.84949924"
"2019-04-19T20:15:00Z","5270.09054419","5272.18988502","5268.77144662","5268.77144662","211.13064196"
"2019-04-19T20:20:00Z","5270.52285897","5270.52285897","5268.77144662","5268.77144662","1060.02719846"
"2019-04-19T20:25:00Z","5272.86523685","5272.86523685","5272.86523685","5272.86523685","49.99999733"
"2019-04-19T20:30:00Z","5269.53864987","5269.53864987","5267.50869971","5267.50869971","1847.85190773"
"2019-04-19T20:35:00Z","5265.03827669","5265.03827669","5265.03827669","5265.03827669","45.01291824"
"2019-04-19T20:40:00Z","5264.3934","5264.3934","5264.3934","5264.3934","105.94765442"
"2019-04-19T20:45:00Z","5258.66844598","5258.66844598","5253.81956126","5253.93169512","2549.34297654"
"2019-04-19T20:50:00Z","5248.63567671","5248.63567671","5214.21204157","5242.37208216","82546.70925813"
"2019-04-19T20:55:00Z","5242.79631854","5242.79631854","5242.48927807","5242.48927807","1008.99225396"
"2019-04-19T21:00:00Z","5244.12564506","5244.12564506","5238.06329701","5238.06329701","2467.72532205"
"2019-04-19T21:05:00Z","5243.82283588","5245.8056974","5243.82283588","5245.8056974","5551.56274735"
"2019-04-19T21:10:00Z","5246.74201264","5246.74201264","5246.74201264","5246.74201264","744.35628621"
"2019-04-19T21:15:00Z","5254.44579757","5258.05812305","5254.44579757","5258.05812305","223.02069615"
"2019-04-19T21:20:00Z","5256.28821676","5256.28821676","5251.45509546","5251.45509546","84.47859292"
"2019-04-19T21:25:00Z","5253.68309959","5262.69245539","5250.22565879","5262.69245539","26768.65497174"
"2019-04-19T21:30:00Z","5256.86631896","5259","5256.86631896","5258.79999994","276.78413737"
"2019-04-19T21:35:00Z","5260.1672406","5260.1672406","5259.2","5259.2","7.65849924"
"2019-04-19T21:40:00Z","5255.09999999","5255.09999999","5246.9824346","5250.12398212","1258.10825991"
"2019-04-19T21:45:00Z","5254.09999976","5254.09999979","5254.09999976","5254.09999979","4100.28597915"
"2019-04-19T21:50:00Z","5254.19999999","5255.41651299","5254.19999999","5255.19598638","156.96494614"
"2019-04-19T21:55:00Z","5246.19431401","5246.19431401","5246.194314","5246.194314","46.45090615"
"2019-04-19T22:00:00Z","5251.09999997","5251.09999997","5247.3","5249.86139639","1416.03105928"
"2019-04-19T22:05:00Z","5247.9435948","5255.41651248","5246.58775519","5246.72000016","3734.28578478"
"2019-04-19T22:10:00Z","5255.41651302","5255.41651302","5253","5255.41651302","430.42137399"
"2019-04-19T22:15:00Z","5253","5253.3","5251.822908","5251.822908","15725.55649551"
"2019-04-19T22:20:00Z","5247.10981714","5249.1","5247.10981714","5248.09999997","132.19407828"
"2019-04-19T22:25:00Z","5247.24029944","5247.24029944","5231.98317177","5231.98317177","12486.41082986"
"2019-04-19T22:30:00Z","5234.6","5237.11634602","5234.6","5237.11634602","11.86254258"
"2019-04-19T22:35:00Z","5244.18316454","5244.18316454","5237.87848082","5237.87848082","2374.5675266"
"2019-04-19T22:40:00Z","5246.09999963","5246.09999963","5241.26682187","5241.26682187","200.73401877"
"2019-04-19T22:45:00Z","5247.53364078","5247.53364078","5247.53364078","5247.53364078","1698.16627339"
"2019-04-19T22:50:00Z","5246.63364075","5246.63364075","5241.42326951","5241.45470372","3760.24707448"
"2019-04-19T22:55:00Z","5247.53364079","5247.53364079","5247.53364079","5247.53364079","388.31748941"
"2019-04-19T23:00:00Z","5253.97121568","5253.97121568","5253.27121555","5253.27121555","12.0081409"
"2019-04-19T23:05:00Z","5255.25293163","5255.25293163","5251.87629376","5251.87629376","449.67320875"
"2019-04-19T23:10:00Z","5250.29937101","5250.29937101","5249.43261605","5249.43261605","17.51859735"
"2019-04-19T23:15:00Z","5250.29937101","5257.06038368","5250.29937101","5257.06038368","2725.69014428"
"2019-04-19T23:20:00Z","5261.8999995","5261.8999995","5261.8999995","5261.8999995","9.66505791"
"2019-04-19T23:25:00Z","5261.8999995","5261.8999995","5261.8999995","5261.8999995","0"
"2019-04-19T23:30:00Z","5261.01997546","5263.13105895","5258.65569449","5263.13105895","11058.94821315"
"2019-04-19T23:35:00Z","5264.14947432","5267.33174883","5264.14947432","5264.47024309","47.67757582"
"2019-04-19T23:40:00Z","5267.2213963","5269","5265.47881145","5265.47881145","90.79402728"
"2019-04-19T23:45:00Z","5268.7952","5268.7952","5266.63808248","5266.9916251","58.26959505"
"2019-04-19T23:50:00Z","5266.99162509","5266.99162509","5263.57992748","5263.57992748","279.28784133"
"2019-04-19T23:55:00Z","5260.85910911","5260.85910911","5260.85910911","5260.85910911","9.10691537"
"2019-04-20T00:00:00Z","5261.24619999","5266.24544216","5261.24619999","5266.24544216","30.49250149"
"2019-04-20T00:05:00Z","5266.24544215","5266.24544215","5263.28696033","5263.28696033","6415.39723332"
"2019-04-20T00:10:00Z","5263.28696033","5263.28696033","5263.28696033","5263.28696033","0"
"2019-04-20T00:15:00Z","5263.28696033","5263.28696033","5263.28696033","5263.28696033","0"
"2019-04-20T00:20:00Z","5267.65907695","5267.65907695","5267.65907695","5267.65907695","536.11321069"
"2019-04-20T00:25:00Z","5268.74000019","5269.03715901","5268.74000019","5269.03715901","541.09996476"
"2019-04-20T00:30:00Z","5268.39913105","5268.39913105","5266.83010706","5266.83010706","251.26693447"
"2019-04-20T00:35:00Z","5266.83010706","5266.83010706","5266.83010706","5266.83010706","0"
"2019-04-20T00:40:00Z","5266.83010706","5266.83010706","5266.83010706","5266.83010706","0"
"2019-04-20T00:45:00Z","5266.83010706","5266.83010706","5266.83010706","5266.83010706","0"
"2019-04-20T00:50:00Z","5264.90351295","5264.90351295","5264.90351295","5264.90351295","329.02982914"
"2019-04-20T00:55:00Z","5264.90351295","5264.90351295","5264.90351295","5264.90351295","0"
"2019-04-20T01:00:00Z","5264.90351295","5264.90351295","5264.90351295","5264.90351295","0"
"2019-04-20T01:05:00Z","5259.56481844","5260.48545569","5259.34803149","5259.34803149","73.28757684"
"2019-04-20T01:10:00Z","5258.96277688","5258.96277688","5258.96277688","5258.96277688","30.53948051"
"2019-04-20T01:15:00Z","5258.96277688","5258.96277688","5258.96277688","5258.96277688","56.86916131"
"2019-04-20T01:20:00Z","5258.6556945","5258.9018743","5258.6556945","5258.9018743","100.93118171"
"2019-04-20T01:25:00Z","5258.9","5258.9","5258.9","5258.9","4.32334169"
"2019-04-20T01:30:00Z","5264.53680914","5264.76361827","5264.53680914","5264.76361827","1232.33821815"
"2019-04-20T01:35:00Z","5264.76361827","5265","5264.0916468","5265","727.39261448"
"2019-04-20T01:40:00Z","5265","5265","5265","5265","0"
"2019-04-20T01:45:00Z","5265","5265","5265","5265","0"
"2019-04-20T01:50:00Z","5265","5265","5265","5265","0"
"2019-04-20T01:55:00Z","5267.03291251","5283.64378609","5267.03291251","5280.57505498","13411.27885884"
"2019-04-20T02:00:00Z","5279.09540816","5289.61853763","5274.31836885","5275.96127113","30931.80119903"
"2019-04-20T02:05:00Z","5273.59436776","5273.59436776","5273.59436776","5273.59436776","1.05935963"
"2019-04-20T02:10:00Z","5274.89944335","5274.89944335","5274.89944335","5274.89944335","3.62744284"
"2019-04-20T02:15:00Z","5277.37867217","5286.12230328","5277.37867217","5283.07544733","10902.14374006"
"2019-04-20T02:20:00Z","5289.98480943","5293","5289.98480943","5291.10751743","6323.14311475"
"2019-04-20T02:25:00Z","5282.83990141","5284.10591767","5281.1","5284.10591767","13569.25835842"
"2019-04-20T02:30:00Z","5281.84768243","5284.52542808","5280.41542808","5284.52542808","4032.67713093"
"2019-04-20T02:35:00Z","5287.69999997","5287.69999997","5284.36644439","5284.3664444","576.86272524"
"2019-04-20T02:40:00Z","5284.3664444","5284.3664444","5272.91030198","5272.91030198","83.97334347"
"2019-04-20T02:45:00Z","5276.46060045","5276.46060045","5263.92647369","5269.86361596","23834.96684843"
"2019-04-20T02:50:00Z","5268.31949121","5268.38502444","5268.31949121","5268.38502444","3688.99240672"
"2019-04-20T02:55:00Z","5268.38502444","5268.38502444","5268.38502444","5268.38502444","0"
"2019-04-20T03:00:00Z","5271.89655571","5271.89655571","5271.32913763","5271.32913763","1820.63163852"
